Agency,AgencyCode,Date,Discharge_cfs
USGS,11160000,6/20/1990,3.6
USGS,11160000,6/21/1990,3.6
USGS,11160000,6/22/1990,3.8
USGS,11160000,6/23/1990,3.6
USGS,11160000,6/24/1990,3.6
USGS,11160000,6/25/1990,3.2
USGS,11160000,6/26/1990,2.9
USGS,11160000,6/27/1990,3
USGS,11160000,6/28/1990,3
USGS,11160000,6/29/1990,2.8
USGS,11160000,6/30/1990,2.7
USGS,11160000,7/1/1990,2.6
USGS,11160000,7/2/1990,2.5
USGS,11160000,7/3/1990,2.5
USGS,11160000,7/4/1990,2.4
USGS,11160000,7/5/1990,2.3
USGS,11160000,7/6/1990,2.1
USGS,11160000,7/7/1990,2.2
USGS,11160000,7/8/1990,2.1
USGS,11160000,7/9/1990,2.3
USGS,11160000,7/10/1990,2.1
USGS,11160000,7/11/1990,2.2
USGS,11160000,7/12/1990,2
USGS,11160000,7/13/1990,1.9
USGS,11160000,7/14/1990,1.8
USGS,11160000,7/15/1990,1.8
USGS,11160000,7/16/1990,1.9
USGS,11160000,7/17/1990,2.1
USGS,11160000,7/18/1990,1.8
USGS,11160000,7/19/1990,1.7
USGS,11160000,7/20/1990,1.7
USGS,11160000,7/21/1990,1.6
USGS,11160000,7/22/1990,1.7
USGS,11160000,7/23/1990,1.8
USGS,11160000,7/24/1990,1.6
USGS,11160000,7/25/1990,1.5
USGS,11160000,7/26/1990,1.6
USGS,11160000,7/27/1990,1.5
USGS,11160000,7/28/1990,1.6
USGS,11160000,7/29/1990,1.5
USGS,11160000,7/30/1990,1.5
USGS,11160000,7/31/1990,1.5
USGS,11160000,8/1/1990,1.5
USGS,11160000,8/2/1990,1.6
USGS,11160000,8/3/1990,1.6
USGS,11160000,8/4/1990,1.4
USGS,11160000,8/5/1990,1.3
USGS,11160000,8/6/1990,1.1
USGS,11160000,8/7/1990,0.38
USGS,11160000,8/8/1990,0.34
USGS,11160000,8/9/1990,0.49
USGS,11160000,8/10/1990,0.51
USGS,11160000,8/11/1990,0.39
USGS,11160000,8/12/1990,0.41
USGS,11160000,8/13/1990,0.39
USGS,11160000,8/14/1990,0.55
USGS,11160000,8/15/1990,0.57
USGS,11160000,8/16/1990,0.56
USGS,11160000,8/17/1990,0.51
USGS,11160000,8/18/1990,0.51
USGS,11160000,8/19/1990,0.59
USGS,11160000,8/20/1990,0.47
USGS,11160000,8/21/1990,0.64
USGS,11160000,8/22/1990,0.48
USGS,11160000,8/23/1990,0.65
USGS,11160000,8/24/1990,0.65
USGS,11160000,8/25/1990,1.9
USGS,11160000,8/26/1990,1
USGS,11160000,8/27/1990,0.67
USGS,11160000,8/28/1990,0.53
USGS,11160000,8/29/1990,0.59
USGS,11160000,8/30/1990,0.61
USGS,11160000,8/31/1990,0.48
USGS,11160000,9/1/1990,0.51
USGS,11160000,9/2/1990,0.49
USGS,11160000,9/3/1990,0.49
USGS,11160000,9/4/1990,0.46
USGS,11160000,9/5/1990,0.5
USGS,11160000,9/6/1990,0.44
USGS,11160000,9/7/1990,0.59
USGS,11160000,9/8/1990,0.85
USGS,11160000,9/9/1990,0.85
USGS,11160000,9/10/1990,0.87
USGS,11160000,9/11/1990,0.86
USGS,11160000,9/12/1990,0.83
USGS,11160000,9/13/1990,0.77
USGS,11160000,9/14/1990,0.79
USGS,11160000,9/15/1990,0.82
USGS,11160000,9/16/1990,0.84
USGS,11160000,9/17/1990,0.83
USGS,11160000,9/18/1990,0.91
USGS,11160000,9/19/1990,0.91
USGS,11160000,9/20/1990,0.89
USGS,11160000,9/21/1990,0.92
USGS,11160000,9/22/1990,0.98
USGS,11160000,9/23/1990,1.7
USGS,11160000,9/24/1990,1.8
USGS,11160000,9/25/1990,1.7
USGS,11160000,9/26/1990,1.5
USGS,11160000,9/27/1990,1.4
USGS,11160000,9/28/1990,1.3
USGS,11160000,9/29/1990,1.3
USGS,11160000,9/30/1990,1.2
USGS,11160000,10/1/1990,1.1
USGS,11160000,10/2/1990,1.1
USGS,11160000,10/3/1990,1
USGS,11160000,10/4/1990,0.95
USGS,11160000,10/5/1990,1
USGS,11160000,10/6/1990,1.1
USGS,11160000,10/7/1990,1
USGS,11160000,10/8/1990,0.78
USGS,11160000,10/9/1990,0.68
USGS,11160000,10/10/1990,0.64
USGS,11160000,10/11/1990,0.7
USGS,11160000,10/12/1990,0.68
USGS,11160000,10/13/1990,0.73
USGS,11160000,10/14/1990,0.96
USGS,11160000,10/15/1990,1.1
USGS,11160000,10/16/1990,1.1
USGS,11160000,10/17/1990,1
USGS,11160000,10/18/1990,0.92
USGS,11160000,10/19/1990,0.92
USGS,11160000,10/20/1990,0.9
USGS,11160000,10/21/1990,0.88
USGS,11160000,10/22/1990,0.81
