"","County","pop"
"1","Alameda",1628997
"2","Alpine",1190
"3","Amador",41412
"4","Butte",207303
"5","Calaveras",46563
"6","Colusa",21914
"7","Contra Costa",1156966
"8","Del Norte",27082
"9","El Dorado",192646
"10","Fresno",1015190
"11","Glenn",28339
"12","Humboldt",135010
"13","Imperial",178713
"14","Inyo",18718
"15","ern",916108
"16","Kings",152981
"17","Lake",68191
"18","Lassen",29904
"19","Los Angeles",9721138
"20","Madera",160256
"21","Marin",256018
"22","Mariposa",17020
"23","Mendocino",89783
"24","Merced",290014
"25","Modoc",8511
"26","Mono",12978
"27","Monterey",432858
"28","Napa",134300
"29","Nevada",102293
"30","Orange",3151184
"31","Placer",417772
"32","Plumas",19351
"33","Riverside",2473902
"34","Sacramento",1584169
"35","San Benito",67579
"36","San Bernardino",2193656
"37","San Diego",3276208
"38","San Francisco",808437
"39","San Joaquin",793229
"40","San Luis Obispo",282013
"41","San Mateo",729181
"42","Santa Barbara",443837
"43","Santa Clara",1870945
"44","Santa Cruz",264370
"45","Shasta",180930
"46","Sierra",3217
"47","Siskiyou",43660
"48","Solano",448747
"49","Sonoma",482650
"50","Stanislaus",551275
"51","Sutter",98503
"52","Tehama",65245
"53","Trinity",15781
"54","Tulare",477544
"55","Tuolumne",54531
"56","Ventura",832605
"57","Yolo",222115
"58","Yuba",84310
