"","VESSEL_LENGTH","VID"
"1",15,1
"2",64,2
"3",45,3
"4",31,4
"5",36,5
"6",30,6
"7",58,7
"8",65,8
"9",34,9
"10",13,10
"11",36,11
"12",42,12
"13",50,13
"14",22,14
"15",44,15
"16",23,16
"17",58,17
"18",12,18
"19",36,19
"20",25,20
"21",46,21
"22",72,22
"23",38,23
"24",49,24
"25",58,25
"26",31,26
"27",47,27
"28",66,28
"29",54,29
"30",26,30
"31",56,31
"32",31,32
"33",41,33
"34",41,34
"35",37,35
"36",29,36
"37",72,37
"38",45,38
"39",28,39
"40",27,40
"41",17,41
"42",28,42
"43",212,43
"44",35,44
"45",65,45
"46",46,46
"47",61,47
"48",24,48
"49",22,49
"50",50,50
"51",34,51
"52",18,52
"53",47,53
"54",50,54
"55",27,55
"56",64,56
"57",45,57
"58",23,58
"59",34,59
"60",27,60
"61",68,61
"62",35,62
"63",46,63
"64",62,64
"65",68,65
"66",67,66
"67",26,67
"68",16,68
"69",40,69
"70",29,70
"71",62,71
"72",26,72
"73",41,73
"74",60,74
"75",27,75
"76",59,76
"77",28,77
"78",26,78
"79",50,79
"80",18,80
"81",48,81
"82",86,82
"83",36,83
"84",42,84
"85",33,85
"86",22,86
"87",49,87
"88",26,88
"89",28,89
"90",38,90
"91",35,91
"92",35,92
"93",37,93
"94",24,94
"95",80,95
"96",41,96
"97",25,97
"98",100,98
"99",40,99
"100",28,100
"101",45,101
"102",27,102
"103",25,103
"104",33,104
"105",86,105
"106",26,106
"107",34,107
"108",22,108
"109",69,109
"110",33,110
"111",65,111
"112",52,112
"113",22,113
"114",57,114
"115",33,115
"116",45,116
"117",29,117
"118",38,118
"119",40,119
"120",27,120
"121",46,121
"122",29,122
"123",65,123
"124",31,124
"125",42,125
"126",72,126
"127",43,127
"128",28,128
"129",54,129
"130",26,130
"131",22,131
"132",37,132
"133",31,133
"134",37,134
"135",18,135
"136",67,136
"137",43,137
"138",22,138
"139",34,139
"140",31,140
"141",17,141
"142",39,142
"143",30,143
"144",75,144
"145",24,145
"146",32,146
"147",29,147
"148",44,148
"149",26,149
"150",49,150
"151",24,151
"152",22,152
"153",22,153
"154",45,154
"155",27,155
"156",29,156
"157",85,157
"158",109,158
"159",23,159
"160",33,160
"161",19,161
"162",58,162
"163",70,163
"164",54,164
"165",34,165
"166",64,166
"167",25,167
"168",59,168
"169",21,169
"170",41,170
"171",27,171
"172",25,172
"173",29,173
"174",17,174
"175",49,175
"176",43,176
"177",41,177
"178",83,178
"179",30,179
"180",38,180
"181",21,181
"182",50,182
"183",49,183
"184",49,184
"185",79,185
"186",63,186
"187",21,187
"188",49,188
"189",32,189
"190",35,190
"191",32,191
"192",36,192
"193",50,193
"194",24,194
"195",27,195
"196",15,196
"197",42,197
"198",20,198
"199",69,199
"200",35,200
"201",42,201
"202",51,202
"203",8,203
"204",32,204
"205",51,205
"206",31,206
"207",84,207
"208",21,208
"209",36,209
"210",48,210
"211",24,211
"212",29,212
"213",32,213
"214",26,214
"215",NA,215
"216",31,216
"217",28,217
"218",46,218
"219",39,219
"220",41,220
"221",NA,221
"222",27,222
"223",27,223
"224",27,224
"225",29,225
"226",45,226
"227",22,227
"228",75,228
"229",27,229
"230",15,230
"231",83,231
"232",21,232
"233",58,233
"234",35,234
"235",48,235
"236",45,236
"237",50,237
"238",25,238
"239",30,239
"240",36,240
"241",65,241
"242",24,242
"243",NA,243
"244",27,244
"245",38,245
"246",21,246
"247",27,247
"248",29,248
"249",19,249
"250",18,250
"251",49,251
"252",41,252
"253",24,253
"254",26,254
"255",26,255
"256",38,256
"257",38,257
"258",68,258
"259",55,259
"260",18,260
"261",21,261
"262",100,262
"263",32,263
"264",44,264
"265",38,265
"266",24,266
"267",34,267
"268",44,268
"269",25,269
"270",56,270
"271",39,271
"272",20,272
"273",68,273
"274",44,274
"275",22,275
"276",22,276
"277",40,277
"278",58,278
"279",39,279
"280",38,280
"281",27,281
"282",75,282
"283",NA,283
"284",36,284
"285",42,285
"286",28,286
"287",42,287
"288",21,288
"289",38,289
"290",31,290
"291",30,291
"292",22,292
"293",49,293
"294",35,294
"295",21,295
"296",46,296
"297",25,297
"298",29,298
"299",38,299
"300",67,300
"301",31,301
"302",26,302
"303",31,303
"304",18,304
"305",36,305
"306",35,306
"307",50,307
"308",110,308
"309",16,309
"310",22,310
"311",42,311
"312",86,312
"313",28,313
"314",46,314
"315",25,315
"316",24,316
"317",38,317
"318",32,318
"319",64,319
"320",27,320
"321",63,321
"322",182,322
"323",18,323
"324",19,324
"325",56,325
"326",89,326
"327",25,327
"328",49,328
"329",34,329
"330",28,330
"331",45,331
"332",20,332
"333",19,333
"334",58,334
"335",50,335
"336",53,336
"337",NA,337
"338",39,338
"339",17,339
"340",53,340
"341",28,341
"342",20,342
"343",48,343
"344",26,344
"345",22,345
"346",48,346
"347",58,347
"348",38,348
"349",40,349
"350",64,350
"351",49,351
"352",32,352
"353",35,353
"354",23,354
"355",37,355
"356",22,356
"357",53,357
"358",27,358
"359",26,359
"360",25,360
"361",53,361
"362",29,362
"363",50,363
"364",49,364
"365",42,365
"366",80,366
"367",62,367
"368",22,368
"369",36,369
"370",36,370
"371",20,371
"372",29,372
"373",46,373
"374",27,374
"375",69,375
"376",35,376
"377",26,377
"378",40,378
"379",30,379
"380",23,380
"381",45,381
"382",47,382
"383",26,383
"384",26,384
"385",28,385
"386",35,386
"387",59,387
"388",68,388
"389",72,389
"390",35,390
"391",44,391
"392",50,392
"393",17,393
"394",17,394
"395",75,395
"396",32,396
"397",27,397
"398",61,398
"399",36,399
"400",50,400
"401",28,401
"402",23,402
"403",40,403
"404",22,404
"405",35,405
"406",28,406
"407",32,407
"408",29,408
"409",NA,409
"410",50,410
"411",46,411
"412",40,412
"413",75,413
"414",35,414
"415",45,415
"416",26,416
"417",26,417
"418",44,418
"419",22,419
"420",50,420
"421",NA,421
"422",46,422
"423",57,423
"424",44,424
"425",25,425
"426",41,426
"427",37,427
"428",16,428
"429",79,429
"430",32,430
"431",32,431
"432",28,432
"433",51,433
"434",25,434
"435",36,435
"436",176,436
"437",19,437
"438",30,438
"439",52,439
"440",42,440
"441",30,441
"442",24,442
"443",29,443
"444",41,444
"445",29,445
"446",32,446
"447",42,447
"448",60,448
"449",50,449
"450",26,450
"451",37,451
"452",55,452
"453",73,453
"454",49,454
"455",45,455
"456",41,456
"457",17,457
"458",30,458
"459",25,459
"460",32,460
"461",45,461
"462",37,462
"463",24,463
"464",32,464
"465",27,465
"466",50,466
"467",24,467
"468",42,468
"469",33,469
"470",48,470
"471",33,471
"472",49,472
"473",21,473
"474",35,474
"475",49,475
"476",28,476
"477",59,477
"478",33,478
"479",48,479
"480",NA,480
"481",15,481
"482",37,482
"483",36,483
"484",33,484
"485",NA,485
"486",31,486
"487",43,487
"488",40,488
"489",95,489
"490",27,490
"491",50,491
"492",21,492
"493",32,493
"494",24,494
"495",40,495
"496",40,496
"497",35,497
"498",27,498
"499",30,499
"500",50,500
"501",30,501
"502",34,502
"503",60,503
"504",26,504
"505",28,505
"506",23,506
"507",31,507
"508",50,508
"509",64,509
"510",33,510
"511",42,511
"512",29,512
"513",44,513
"514",32,514
"515",38,515
"516",27,516
"517",24,517
"518",33,518
"519",70,519
"520",41,520
"521",39,521
"522",54,522
"523",41,523
"524",19,524
"525",35,525
"526",58,526
"527",24,527
"528",50,528
"529",64,529
"530",41,530
"531",46,531
"532",54,532
"533",22,533
"534",29,534
"535",34,535
"536",31,536
"537",40,537
"538",26,538
"539",40,539
"540",75,540
"541",18,541
"542",40,542
"543",16,543
"544",32,544
"545",34,545
"546",107,546
"547",23,547
"548",32,548
"549",46,549
"550",64,550
"551",50,551
"552",57,552
"553",72,553
"554",32,554
"555",50,555
"556",33,556
"557",39,557
"558",38,558
"559",24,559
"560",20,560
"561",81,561
"562",20,562
"563",19,563
"564",49,564
"565",32,565
"566",17,566
"567",42,567
"568",73,568
"569",46,569
"570",84,570
"571",41,571
"572",58,572
"573",39,573
"574",0,574
"575",62,575
"576",40,576
"577",49,577
"578",26,578
"579",22,579
"580",42,580
"581",36,581
"582",51,582
"583",47,583
"584",22,584
"585",26,585
"586",46,586
"587",48,587
"588",37,588
"589",48,589
"590",31,590
"591",26,591
"592",62,592
"593",60,593
"594",39,594
"595",42,595
"596",22,596
"597",40,597
"598",46,598
"599",33,599
"600",37,600
"601",58,601
"602",30,602
"603",22,603
"604",NA,604
"605",21,605
"606",33,606
"607",34,607
"608",45,608
"609",50,609
"610",39,610
"611",22,611
"612",42,612
"613",18,613
"614",41,614
"615",22,615
"616",31,616
"617",43,617
"618",40,618
"619",41,619
"620",26,620
"621",38,621
"622",23,622
"623",24,623
"624",77,624
"625",45,625
"626",27,626
"627",23,627
"628",28,628
"629",46,629
"630",44,630
"631",46,631
"632",44,632
"633",32,633
"634",29,634
"635",45,635
"636",50,636
"637",78,637
"638",32,638
"639",34,639
"640",30,640
"641",15,641
"642",57,642
"643",31,643
"644",22,644
"645",16,645
"646",35,646
"647",21,647
"648",49,648
"649",42,649
"650",58,650
"651",32,651
"652",49,652
"653",200,653
"654",58,654
"655",26,655
"656",30,656
"657",18,657
"658",29,658
"659",36,659
"660",33,660
"661",22,661
"662",26,662
"663",48,663
"664",36,664
"665",31,665
"666",32,666
"667",32,667
"668",24,668
"669",24,669
"670",22,670
"671",26,671
"672",28,672
"673",111,673
"674",58,674
"675",32,675
"676",49,676
"677",28,677
"678",31,678
"679",76,679
"680",25,680
"681",17,681
"682",60,682
"683",69,683
"684",43,684
"685",44,685
"686",45,686
"687",38,687
"688",18,688
"689",25,689
"690",38,690
"691",54,691
"692",36,692
"693",25,693
"694",25,694
"695",20,695
"696",30,696
"697",49,697
"698",20,698
"699",58,699
"700",87,700
"701",44,701
"702",34,702
"703",25,703
"704",27,704
"705",42,705
"706",43,706
"707",15,707
"708",24,708
"709",42,709
"710",29,710
"711",34,711
"712",28,712
"713",44,713
"714",38,714
"715",21,715
"716",15,716
"717",32,717
"718",31,718
"719",35,719
"720",27,720
"721",42,721
"722",30,722
"723",57,723
"724",37,724
"725",19,725
"726",42,726
"727",85,727
"728",16,728
"729",25,729
"730",28,730
"731",39,731
"732",29,732
"733",42,733
"734",61,734
"735",40,735
"736",63,736
"737",41,737
"738",27,738
"739",36,739
"740",27,740
"741",64,741
"742",27,742
"743",25,743
"744",33,744
"745",19,745
"746",55,746
"747",32,747
"748",68,748
"749",NA,749
"750",15,750
"751",48,751
"752",22,752
